Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
1333 Harbor Ave Sw,Illegal Burn,2025-12-31 23:59:00,47.591918,-122.382656,POINT (-122.382656 47.591918),F260000002
3323 S Graham St,Aid Response,2025-12-31 23:57:00,47.546103,-122.289056,POINT (-122.289056 47.546103),F250180050
81 CLAY ST,Ladder Code Red,2025-12-31 23:56:00,47.61584,-122.352214,POINT (-122.352214 47.61584),F250180051
E Pine St / Boylston Ave,Aid Response,2025-12-31 23:55:00,47.615231,-122.323415,POINT (-122.323415 47.615231),F250180049
1325 E Madison St,Aid Response,2025-12-31 23:52:00,47.613492,-122.315187,POINT (-122.315187 47.613492),F250180048
2225 4th Ave,Automatic Medical Alarm,2025-12-31 23:50:00,47.614788,-122.342952,POINT (-122.342952 47.614788),F250180046
4111 Stone Way N,Medic Response- 6 per Rule,2025-12-31 23:47:00,47.656686,-122.342375,POINT (-122.342375 47.656686),F250180044
6302 22nd Ave Nw,Aid Response,2025-12-31 23:46:00,47.674565,-122.38474,POINT (-122.38474 47.674565),F250180043
35th Ave Sw / Sw Snoqualmie St,1RED 1 Unit,2025-12-31 23:44:00,47.562035,-122.376202,POINT (-122.376202 47.562035),F250180041
11201 Roosevelt Way Ne,Ladder Code Yellow,2025-12-31 23:42:00,47.710279,-122.317673,POINT (-122.317673 47.710279),F250180040
2215 1st Ave,Rescue Lock In/Out,2025-12-31 23:39:00,47.612716,-122.345399,POINT (-122.345399 47.612716),F250180039
101 Taylor Ave N,Auto Fire Alarm,2025-12-31 23:27:00,47.618566,-122.346316,POINT (-122.346316 47.618566),F250180034
11201 Roosevelt Way Ne,2RED - 1 + 1,2025-12-31 23:26:00,47.710279,-122.317673,POINT (-122.317673 47.710279),F250180033
119 W Roy St,Aid Response,2025-12-31 23:25:00,47.625719,-122.358249,POINT (-122.358249 47.625719),F250180030
2011 5th Ave,Alarm Bell,2025-12-31 23:25:00,47.613805,-122.339307,POINT (-122.339307 47.613805),F250180031
305 Harrison St,Alarm Bell,2025-12-31 23:21:00,47.622089,-122.351371,POINT (-122.351371 47.622089),F250180029
5925 31st Ave Sw,Medic Response- 7 per Rule,2025-12-31 23:19:00,47.549719,-122.372316,POINT (-122.372316 47.549719),F250180027
12517 33rd Ave Ne,Illegal Burn,2025-12-31 23:19:00,47.719378,-122.292729,POINT (-122.292729 47.719378),F250180028
