Month,Questions
"2008-07-01 00:00:00","4"
"2008-08-01 00:00:00","3748"
"2008-09-01 00:00:00","14033"
"2008-10-01 00:00:00","14578"
"2008-11-01 00:00:00","12715"
"2008-12-01 00:00:00","12080"
"2009-01-01 00:00:00","15833"
"2009-02-01 00:00:00","17580"
"2009-03-01 00:00:00","20482"
"2009-04-01 00:00:00","21336"
"2009-05-01 00:00:00","25812"
"2009-06-01 00:00:00","28325"
"2009-07-01 00:00:00","32481"
"2009-08-01 00:00:00","32773"
"2009-09-01 00:00:00","33053"
"2009-10-01 00:00:00","36329"
"2009-11-01 00:00:00","38514"
"2009-12-01 00:00:00","37792"
"2010-01-01 00:00:00","44936"
"2010-02-01 00:00:00","44810"
"2010-03-01 00:00:00","52234"
"2010-04-01 00:00:00","50083"
"2010-05-01 00:00:00","51996"
"2010-06-01 00:00:00","55747"
"2010-07-01 00:00:00","60846"
"2010-08-01 00:00:00","63657"
"2010-09-01 00:00:00","61227"
"2010-10-01 00:00:00","63775"
"2010-11-01 00:00:00","69693"
"2010-12-01 00:00:00","69570"
"2011-01-01 00:00:00","79909"
"2011-02-01 00:00:00","82941"
"2011-03-01 00:00:00","100964"
"2011-04-01 00:00:00","95560"
"2011-05-01 00:00:00","100228"
"2011-06-01 00:00:00","99026"
"2011-07-01 00:00:00","100445"
"2011-08-01 00:00:00","106912"
"2011-09-01 00:00:00","101720"
"2011-10-01 00:00:00","101032"
"2011-11-01 00:00:00","108445"
"2011-12-01 00:00:00","103171"
"2012-01-01 00:00:00","115431"
"2012-02-01 00:00:00","123294"
"2012-03-01 00:00:00","132994"
"2012-04-01 00:00:00","128060"
"2012-05-01 00:00:00","133511"
"2012-06-01 00:00:00","130316"
"2012-07-01 00:00:00","141900"
"2012-08-01 00:00:00","141507"
"2012-09-01 00:00:00","132225"
"2012-10-01 00:00:00","150055"
"2012-11-01 00:00:00","148274"
"2012-12-01 00:00:00","135450"
"2013-01-01 00:00:00","157836"
"2013-02-01 00:00:00","153394"
"2013-03-01 00:00:00","173786"
"2013-04-01 00:00:00","171519"
"2013-05-01 00:00:00","166422"
"2013-06-01 00:00:00","158303"
"2013-07-01 00:00:00","176597"
"2013-08-01 00:00:00","170189"
"2013-09-01 00:00:00","165338"
"2013-10-01 00:00:00","184083"
"2013-11-01 00:00:00","175987"
"2013-12-01 00:00:00","165153"
"2014-01-01 00:00:00","188754"
"2014-02-01 00:00:00","187721"
"2014-03-01 00:00:00","207441"
"2014-04-01 00:00:00","193977"
"2014-05-01 00:00:00","175976"
"2014-06-01 00:00:00","162325"
"2014-07-01 00:00:00","177024"
"2014-08-01 00:00:00","163366"
"2014-09-01 00:00:00","165827"
"2014-10-01 00:00:00","172828"
"2014-11-01 00:00:00","166548"
"2014-12-01 00:00:00","155265"
"2015-01-01 00:00:00","165931"
"2015-02-01 00:00:00","168467"
"2015-03-01 00:00:00","189702"
"2015-04-01 00:00:00","189892"
"2015-05-01 00:00:00","185808"
"2015-06-01 00:00:00","187847"
"2015-07-01 00:00:00","195373"
"2015-08-01 00:00:00","181346"
"2015-09-01 00:00:00","177790"
"2015-10-01 00:00:00","186322"
"2015-11-01 00:00:00","178122"
"2015-12-01 00:00:00","172474"
"2016-01-01 00:00:00","181184"
"2016-02-01 00:00:00","188674"
"2016-03-01 00:00:00","201905"
"2016-04-01 00:00:00","197033"
"2016-05-01 00:00:00","189750"
"2016-06-01 00:00:00","184641"
"2016-07-01 00:00:00","176945"
"2016-08-01 00:00:00","181936"
"2016-09-01 00:00:00","171656"
"2016-10-01 00:00:00","175383"
"2016-11-01 00:00:00","175304"
"2016-12-01 00:00:00","162406"
"2017-01-01 00:00:00","176947"
"2017-02-01 00:00:00","175257"
"2017-03-01 00:00:00","201518"
"2017-04-01 00:00:00","178493"
"2017-05-01 00:00:00","186497"
"2017-06-01 00:00:00","178156"
"2017-07-01 00:00:00","179842"
"2017-08-01 00:00:00","177731"
"2017-09-01 00:00:00","162352"
"2017-10-01 00:00:00","170066"
"2017-11-01 00:00:00","168984"
"2017-12-01 00:00:00","145318"
"2018-01-01 00:00:00","160531"
"2018-02-01 00:00:00","153135"
"2018-03-01 00:00:00","172998"
"2018-04-01 00:00:00","162470"
"2018-05-01 00:00:00","168065"
"2018-06-01 00:00:00","154868"
"2018-07-01 00:00:00","160071"
"2018-08-01 00:00:00","158517"
"2018-09-01 00:00:00","144563"
"2018-10-01 00:00:00","160483"
"2018-11-01 00:00:00","149800"
"2018-12-01 00:00:00","132250"
"2019-01-01 00:00:00","149608"
"2019-02-01 00:00:00","146408"
"2019-03-01 00:00:00","161134"
"2019-04-01 00:00:00","153545"
"2019-05-01 00:00:00","151374"
"2019-06-01 00:00:00","135926"
"2019-07-01 00:00:00","151044"
"2019-08-01 00:00:00","137156"
"2019-09-01 00:00:00","136917"
"2019-10-01 00:00:00","152696"
"2019-11-01 00:00:00","148320"
"2019-12-01 00:00:00","132604"
"2020-01-01 00:00:00","146711"
"2020-02-01 00:00:00","145169"
"2020-03-01 00:00:00","156018"
"2020-04-01 00:00:00","182986"
"2020-05-01 00:00:00","186547"
"2020-06-01 00:00:00","171970"
"2020-07-01 00:00:00","166088"
"2020-08-01 00:00:00","148410"
"2020-09-01 00:00:00","141852"
"2020-10-01 00:00:00","141871"
"2020-11-01 00:00:00","135017"
"2020-12-01 00:00:00","133970"
"2021-01-01 00:00:00","139934"
"2021-02-01 00:00:00","131756"
"2021-03-01 00:00:00","148842"
"2021-04-01 00:00:00","135952"
"2021-05-01 00:00:00","133880"
"2021-06-01 00:00:00","129081"
"2021-07-01 00:00:00","124099"
"2021-08-01 00:00:00","122253"
"2021-09-01 00:00:00","119861"
"2021-10-01 00:00:00","118979"
"2021-11-01 00:00:00","119228"
"2021-12-01 00:00:00","112257"
"2022-01-01 00:00:00","119430"
"2022-02-01 00:00:00","114091"
"2022-03-01 00:00:00","123576"
"2022-04-01 00:00:00","114392"
"2022-05-01 00:00:00","116316"
"2022-06-01 00:00:00","111718"
"2022-07-01 00:00:00","111030"
"2022-08-01 00:00:00","113014"
"2022-09-01 00:00:00","103929"
"2022-10-01 00:00:00","106327"
"2022-11-01 00:00:00","109691"
"2022-12-01 00:00:00","96706"
"2023-01-01 00:00:00","97149"
"2023-02-01 00:00:00","85939"
"2023-03-01 00:00:00","87478"
"2023-04-01 00:00:00","68721"
"2023-05-01 00:00:00","66730"
"2023-06-01 00:00:00","63823"
"2023-07-01 00:00:00","62905"
"2023-08-01 00:00:00","60271"
"2023-09-01 00:00:00","52993"
"2023-10-01 00:00:00","52657"
"2023-11-01 00:00:00","50506"
"2023-12-01 00:00:00","42514"
"2024-01-01 00:00:00","47751"
"2024-02-01 00:00:00","46149"
"2024-03-01 00:00:00","44969"
"2024-04-01 00:00:00","42631"
"2024-05-01 00:00:00","40323"
"2024-06-01 00:00:00","32183"
"2024-07-01 00:00:00","31604"
"2024-08-01 00:00:00","28025"
"2024-09-01 00:00:00","24848"
"2024-10-01 00:00:00","23256"
"2024-11-01 00:00:00","20872"
"2024-12-01 00:00:00","17995"
"2025-01-01 00:00:00","18267"
"2025-02-01 00:00:00","17556"
"2025-03-01 00:00:00","18897"
"2025-04-01 00:00:00","13994"
"2025-05-01 00:00:00","11594"
"2025-06-01 00:00:00","9228"
